ref=/home/agent/host/claude1/cpp/opencv/examples/ramp_256x256.png
dither=/home/agent/host/claude1/cpp/opencv/build/dither
colstats=/home/agent/host/claude1/cpp/opencv/colstats

test                                                worst |z|    avg |z|  fails  result
---------------------------------------------------------------------------------------
round frames=1 lvl=8 spatial=0.1 lin=True               4.140      1.392     22  FAIL
round frames=1 lvl=8 spatial=0.1 lin=False              6.147      1.382     26  FAIL
round frames=1 lvl=8 spatial=0.5 lin=True               3.093      0.991      6  FAIL
round frames=1 lvl=8 spatial=0.5 lin=False              5.194      1.053     17  FAIL
round frames=1 lvl=8 spatial=1 lin=True                 1.423      0.196      0  PASS
round frames=1 lvl=8 spatial=1 lin=False                2.151      0.199      0  PASS
round frames=16 lvl=2 spatial=0 lin=True                2.879      0.726      0  PASS
round frames=16 lvl=2 spatial=0 lin=False               2.848      0.897      0  PASS
round frames=16 lvl=2 spatial=0.1 lin=True              1.018      0.187      0  PASS
round frames=16 lvl=2 spatial=0.1 lin=False             2.333      0.197      0  PASS
round frames=16 lvl=2 spatial=0.5 lin=True              1.018      0.187      0  PASS
round frames=16 lvl=2 spatial=0.5 lin=False             2.333      0.197      0  PASS
round frames=16 lvl=2 spatial=1 lin=True                1.018      0.187      0  PASS
round frames=16 lvl=2 spatial=1 lin=False               2.333      0.197      0  PASS
round frames=16 lvl=8 spatial=0 lin=True                1.004      0.106      0  PASS
round frames=16 lvl=8 spatial=0 lin=False               1.516      0.106      0  PASS
round frames=16 lvl=8 spatial=0.1 lin=True              0.582      0.059      0  PASS
round frames=16 lvl=8 spatial=0.1 lin=False             0.490      0.052      0  PASS
round frames=16 lvl=8 spatial=0.5 lin=True              0.582      0.060      0  PASS
round frames=16 lvl=8 spatial=0.5 lin=False             0.490      0.052      0  PASS
round frames=16 lvl=8 spatial=1 lin=True                0.582      0.060      0  PASS
round frames=16 lvl=8 spatial=1 lin=False               0.490      0.052      0  PASS
